country,year,production,export,domestic_consumption,gross_opening_stock,coffee_type
Haiti,2005,356.0064,25.0990003,340.0,8.0,Other Milds
Philippines,2005,432.3372,34.4145416,1040.0,314.0,Brazilan Naturals
Philippines,2005,432.3372,34.4145416,1040.0,314.0,Robustas
Tanzania,2005,804.4066,711.7568673,47.0,4.0,Colombian Milds
Tanzania,2005,804.4066,711.7568673,47.0,4.0,Robustas
Zambia,2005,102936,105.8024333,0.6,0.0,Other Milds
Cameroon,2005,869.7157,704.3954,69.0,11.0,Other Milds
Cameroon,2005,869.7157,704.3954,69.0,11.0,Robustas
Central African Republic,2005,23.1639,46.5612127,3.0,13.0,Robustas
Colombia,2005,11952.2997,10871.2469708,1209.0,1215.56,Colombian Milds
Costa Rica,2005,1652.5288,1480.3359848,375.0,180.0,Other Milds
Côte d'Ivoire,2005,2099.0447,1753.849255,316667,741072,Robustas
Democratic Republic of Congo,2005,336198,157.53,200.0,0.0,Other Milds
Democratic Republic of Congo,2005,336198,157.53,200.0,0.0,Robustas
El Salvador,2005,1318587,1279.8806251,224.1,129.0,Other Milds
Ethiopia,2005,4779486,2435069,2609.0,1432.0,Brazilan Naturals
Gabon,2005,691,0.0,0.3,0.0,Robustas
Ghana,2005,12.3749,17.5438,1.59,5.0,Robustas
Guatemala,2005,3675.5298,3465.7933198,300.0,99667,Other Milds
Guinea,2005,524884,279.4150001,50.0,29.0,Robustas
Honduras,2005,3204361,2391.90535,230.0,36529,Other Milds
India,2005,4566.2898,2828.9324247,1238.0,1279.0,Other Milds
India,2005,4566.2898,2828.9324247,1238.0,1279.0,Robustas
Jamaica,2005,34.2777,15.3134398,9.0,5829,Other Milds
Kenya,2005,660135,673.14,50.0,125.0,Colombian Milds
Liberia,2005,5361,0.78,5.0,0.0,Robustas
Mexico,2005,4224.6637,1984.8029797,1725.0,1426.0,Other Milds
Nicaragua,2005,1431.8115,1002.5431542,186719,144142,Other Milds
Nigeria,2005,68.5718,8.3579018,40.0,0.0,Robustas
Panama,2005,176.3307,90.3745078,67.0,21.0,Other Milds
Sierra Leone,2005,59.9662,20.3848082,5.0,10.0,Robustas
Sri Lanka,2005,34.9432,2.5089192,30.0,2.0,Other Milds
Sri Lanka,2005,34.9432,2.5089192,30.0,2.0,Robustas
Thailand,2005,1063.9651,374.5679999,500.0,132.25,Brazilan Naturals
Thailand,2005,1063.9651,374.5679999,500.0,132.25,Robustas
Togo,2005,140.0759,163.99795,2.0,23317,Robustas
Trinidad & Tobago,2005,14.8624,0.7738187,14.0,0.0,Robustas
Uganda,2005,2175201,2368692,150.0,242.0,Other Milds
Uganda,2005,2175201,2368692,150.0,242.0,Robustas
Venezuela,2005,1506.3009,22.0685575,1456.5,28.0,Other Milds
Viet Nam,2005,13841.8363,13432.0335533,800.0,580.0,Brazilan Naturals
Viet Nam,2005,13841.8363,13432.0335533,800.0,580.0,Robustas
Angola,2006,35095,5.41,30.0,140.0,Brazilan Naturals
Angola,2006,35095,5.41,30.0,140.0,Robustas
Bolivia (Plurinational State of),2006,146.4297,92.5442368,42.0,0.0,Other Milds
Brazil,2006,48431.7338,27368.9019587,16331.0,14855.0,Brazilan Naturals
Brazil,2006,48431.7338,27368.9019587,16331.0,14855.0,Robustas
Burundi,2006,498.5,280927,1.56,17291,Other Milds
Burundi,2006,498.5,280927,1.56,17291,Robustas
Ecuador,2006,1034.5199,1014.7792186,150.0,16.0,Other Milds
Ecuador,2006,1034.5199,1014.7792186,150.0,16.0,Robustas
Indonesia,2006,7482.6737,5280.4349134,2833.0,150.0,Brazilan Naturals
Indonesia,2006,7482.6737,5280.4349134,2833.0,150.0,Robustas
Madagascar,2006,586.51,178.72,467.0,20.25,Other Milds
Madagascar,2006,586.51,178.72,467.0,20.25,Robustas
Malawi,2006,16663,17.42,1.0,3.0,Other Milds
Papua New Guinea,2006,807.2202,848.8072127,2.0,86109,Other Milds
Papua New Guinea,2006,807.2202,848.8072127,2.0,86109,Robustas
Peru,2006,4319.0586,3881.0259992,220.0,30.0,Other Milds
Rwanda,2006,351013,388.9674653,1.0,60.0,Other Milds
Zimbabwe,2006,45149,54.2412331,4.0,10.0,Other Milds
Congo,2006,3.0,0.0,3.0,0.0,Robustas
Cuba,2006,104.85,15.9333333,224.0,18.0,Other Milds
Dominican Republic,2006,386.6671,124.6719635,377998,120.0,Other Milds
Haiti,2006,362112,23.7869002,340.0,0.0,Other Milds
Philippines,2006,441.1089,38.0869695,1060.0,150.0,Brazilan Naturals
Philippines,2006,441.1089,38.0869695,1060.0,150.0,Robustas
Tanzania,2006,821807,731.5407483,47.0,7333,Colombian Milds
Tanzania,2006,821807,731.5407483,47.0,7333,Robustas
Zambia,2006,56.0696,77.9461333,0.6,0.0,Other Milds
Cameroon,2006,818.1664,739.1189167,69.0,33.0,Other Milds
Cameroon,2006,818.1664,739.1189167,69.0,33.0,Robustas
Central African Republic,2006,113.5037,16.517692,3.0,13.0,Robustas
Colombia,2006,12164.1926,10944.8534601,1194633,1522626,Colombian Milds
Costa Rica,2006,1706.0731,1310.3694086,375.0,140.0,Other Milds
Côte d'Ivoire,2006,2847.9404,1751.0699381,316667,715.64,Robustas
Democratic Republic of Congo,2006,377.5227,138.0938333,200.0,0.0,Other Milds
Democratic Republic of Congo,2006,377.5227,138.0938333,200.0,0.0,Robustas
El Salvador,2006,1233661,1292.8146082,253.8,110.9,Other Milds
Ethiopia,2006,5550.74,2935.56,2748.0,900.0,Brazilan Naturals
Gabon,2006,1403,1091,0.3,0.0,Robustas
Ghana,2006,20.2111,8.8198133,1.0,5.0,Robustas
Guatemala,2006,3950.3303,3312.1092313,300.0,127.0,Other Milds
Guinea,2006,472.9477,518.9227253,50.0,8.0,Robustas
Honduras,2006,3461.2816,2898.4144369,230.0,82.33,Other Milds
India,2006,4500.0734,3578.2750866,1275.0,1304.0,Other Milds
India,2006,4500.0734,3578.2750866,1275.0,1304.0,Robustas
Jamaica,2006,40.1196,24.6042409,9.0,10561,Other Milds
Kenya,2006,826.08,597133,50.0,115.0,Colombian Milds
Liberia,2006,6.7276,446,5.0,0.0,Robustas
Mexico,2006,4200.3381,2570.0749433,2000.0,1418.0,Other Milds
Nicaragua,2006,1427.9262,1445.3033968,189185,16208,Other Milds
Nigeria,2006,50.7351,27.9514577,40.0,0.0,Robustas
Panama,2006,173.1015,106.9430052,67.0,21.0,Other Milds
Sierra Leone,2006,31472,50.9830177,5.0,10.0,Robustas
Sri Lanka,2006,32875,7.4294345,30.0,1.0,Other Milds
Sri Lanka,2006,32875,7.4294345,30.0,1.0,Robustas
Thailand,2006,822.4689,540.0988174,500.0,73.0,Brazilan Naturals
Thailand,2006,822.4689,540.0988174,500.0,73.0,Robustas
Togo,2006,133.95,117.8949833,2.0,35.0,Robustas
Trinidad & Tobago,2006,11.6981,0.7917137,11.0,0.0,Robustas
Uganda,2006,2894.16,2172889,175.0,265227,Other Milds
Uganda,2006,2894.16,2172889,175.0,265227,Robustas
Venezuela,2006,1570.8961,64.8685815,1518.11,30.0,Other Milds
Viet Nam,2006,19339.7501,13904.70204,917.0,500.0,Brazilan Naturals
Viet Nam,2006,19339.7501,13904.70204,917.0,500.0,Robustas
Angola,2007,35631,3916,30.0,140.0,Brazilan Naturals
Angola,2007,35631,3916,30.0,140.0,Robustas
Bolivia (Plurinational State of),2007,116.0292,84.0471555,43.5,0.0,Other Milds
Brazil,2007,38911.4571,28183.5739472,17110.0,18470.0,Brazilan Naturals
Brazil,2007,38911.4571,28183.5739472,17110.0,18470.0,Robustas
Burundi,2007,132856,356114,1357,150497,Other Milds
Burundi,2007,132856,356114,1357,150497,Robustas
Ecuador,2007,950.4028,991.1147872,150.0,7.5,Other Milds
Ecuador,2007,950.4028,991.1147872,150.0,7.5,Robustas
Indonesia,2007,7776.5557,4149.4101006,3333.0,30.0,Brazilan Naturals
Indonesia,2007,7776.5557,4149.4101006,3333.0,30.0,Robustas
Madagascar,2007,614.1661,99.4513715,467.0,8333,Other Milds
Madagascar,2007,614.1661,99.4513715,467.0,8333,Robustas
Malawi,2007,18812,18875,1.0,2.0,Other Milds
Papua New Guinea,2007,967.7113,908.7452539,2.0,80127,Other Milds
Papua New Guinea,2007,967.7113,908.7452539,2.0,80127,Robustas
Peru,2007,3062.9307,2879.4942892,220.0,16.0,Other Milds
Rwanda,2007,224.0446,255.5357195,1.0,17.0,Other Milds
Zimbabwe,2007,31.2441,32.4034668,4.0,5.0,Other Milds
Congo,2007,3.0,0.0,3.0,0.0,Robustas
Cuba,2007,109.8567,15.64,224.0,22.0,Other Milds
Dominican Republic,2007,464.9084,77.8296446,378.0,45.0,Other Milds
Haiti,2007,359.4114,20.8177303,340.0,0.0,Other Milds
Philippines,2007,445.6113,32.4238816,1060.0,50.0,Brazilan Naturals
Philippines,2007,445.6113,32.4238816,1060.0,50.0,Robustas
Tanzania,2007,809.7958,807.2481667,47.0,18383,Colombian Milds
Tanzania,2007,809.7958,807.2481667,47.0,18383,Robustas
Zambia,2007,61.4737,53682,1.0,0.0,Other Milds
Cameroon,2007,795.3046,720.62075,69.0,40116,Other Milds
Cameroon,2007,795.3046,720.62075,69.0,40116,Robustas
Central African Republic,2007,43467,121.9396667,3333,5.0,Robustas
Colombia,2007,12515.0974,11300.4206901,1280923,1538639,Colombian Milds
Costa Rica,2007,1797.1373,1363.8501555,375.0,100.0,Other Milds
Côte d'Ivoire,2007,1338.1445,2195.6015148,317.0,1228586,Robustas
Democratic Republic of Congo,2007,415.9287,199.9877167,200.0,0.0,Other Milds
Democratic Republic of Congo,2007,415.9287,199.9877167,200.0,0.0,Robustas
El Salvador,2007,1504.9911,1210.3587142,250.5,54.0,Other Milds
Ethiopia,2007,5966.6796,2604008,2894.0,933.0,Brazilan Naturals
Gabon,2007,721,403,0.3,0.0,Robustas
Ghana,2007,34.6644,22.12315,2.0,3.0,Robustas
Guatemala,2007,4099.6768,3726.1669582,300.0,30.0,Other Milds
Guinea,2007,322.6894,435.6941632,50.0,4.0,Robustas
Honduras,2007,3639.7929,3312.0085632,245.0,98.14,Other Milds
India,2007,4366.6594,3319.4056657,1350.0,1471.0,Other Milds
India,2007,4366.6594,3319.4056657,1350.0,1471.0,Robustas
Jamaica,2007,20.1766,22.7331535,9.0,19746,Other Milds
Kenya,2007,652105,817466,50.0,100.0,Colombian Milds
Liberia,2007,6.8511,2.3353334,5.0,0.0,Robustas
Mexico,2007,4150.3183,2912.3017258,2200.0,725.0,Other Milds
Nicaragua,2007,1905.6714,1259.3465787,191645,87349,Other Milds
Nigeria,2007,42.1658,9.4129532,40.0,0.0,Robustas
Panama,2007,176.0553,108.8952921,67.0,15.0,Other Milds
Sierra Leone,2007,40.0011,51.0899843,5.0,2.0,Robustas
Sri Lanka,2007,33.4906,4.2543587,30.0,0.0,Other Milds
Sri Lanka,2007,33.4906,4.2543587,30.0,0.0,Robustas
Thailand,2007,650.4208,365.4450574,550.0,11.0,Brazilan Naturals
Thailand,2007,650.4208,365.4450574,550.0,11.0,Robustas
Togo,2007,125131,154.9078833,2.0,20.0,Robustas
Trinidad & Tobago,2007,12.1349,0.7603987,11.0,0.0,Robustas
Uganda,2007,3489648,2693187,180.25,280151,Other Milds
Uganda,2007,3489648,2693187,180.25,280151,Robustas
Venezuela,2007,1520.4505,70.3796585,1582.33,15.0,Other Milds
Viet Nam,2007,16405.0988,17936.2186134,938.0,833.0,Brazilan Naturals
Viet Nam,2007,16405.0988,17936.2186134,938.0,833.0,Robustas
Angola,2008,37.61,6105,30.0,140.0,Brazilan Naturals
Angola,2008,37.61,6105,30.0,140.0,Robustas
Bolivia (Plurinational State of),2008,120.4186,68.1538912,45.0,0.0,Other Milds
Brazil,2008,51490.5177,29510.2956935,17660.0,12227.0,Brazilan Naturals
Brazil,2008,51490.5177,29510.2956935,17660.0,12227.0,Robustas
Burundi,2008,411.7822,250.6982333,1435,5.15,Other Milds
Burundi,2008,411.7822,250.6982333,1435,5.15,Robustas
Ecuador,2008,770.6473,868.4560753,150.0,6.2,Other Milds
Ecuador,2008,770.6473,868.4560753,150.0,6.2,Robustas
Indonesia,2008,9612.3466,5740.6730453,3333.0,56.0,Brazilan Naturals
Indonesia,2008,9612.3466,5740.6730453,3333.0,56.0,Robustas
Madagascar,2008,727.6884,196.1874116,467.0,0.0,Other Milds
Madagascar,2008,727.6884,196.1874116,467.0,0.0,Robustas
Malawi,2008,20753,20554,1.0,0.0,Other Milds
Papua New Guinea,2008,1027.6529,1095.9213703,2.0,76.0,Other Milds
Papua New Guinea,2008,1027.6529,1095.9213703,2.0,76.0,Robustas
Peru,2008,3872262,3732567,250.0,201.0,Other Milds
Rwanda,2008,368.7282,326.0684598,1.0,17.0,Other Milds
Zimbabwe,2008,24.2492,23.1005954,4.0,0.0,Other Milds
Congo,2008,3.0,0.0,3.0,0.0,Robustas
Cuba,2008,133.4523,3.85,220.0,12.0,Other Milds
Dominican Republic,2008,645.0295,81.6146814,378.0,52.0,Other Milds
Haiti,2008,358.6822,17.2008609,340.0,0.0,Other Milds
Philippines,2008,586.8337,4.3929507,1720.0,0.0,Brazilan Naturals
Philippines,2008,586.8337,4.3929507,1720.0,0.0,Robustas
Tanzania,2008,1186.2823,817.9361667,47.0,13.2166,Colombian Milds
Tanzania,2008,1186.2823,817.9361667,47.0,13.2166,Robustas
Zambia,2008,34.6967,48.4856667,1.0,0.0,Other Milds
Cameroon,2008,724.9004,527.0159667,69.0,9.0,Other Milds
Cameroon,2008,724.9004,527.0159667,69.0,9.0,Robustas
Central African Republic,2008,59616,32633,5.0,8333,Robustas
Colombia,2008,8664.2903,11085.1702037,1290.5,1354.25,Colombian Milds
Costa Rica,2008,1499918,1440.082759,267859,120.0,Other Milds
Côte d'Ivoire,2008,2526.3263,1490.2354749,317.0,584231,Robustas
Democratic Republic of Congo,2008,421.9583,203.2036167,200.0,0.0,Other Milds
Democratic Republic of Congo,2008,421.9583,203.2036167,200.0,0.0,Robustas
El Salvador,2008,1450.2264,1438.2105592,244.3,15.2,Other Milds
Ethiopia,2008,4948.9869,2851.92097,3048.0,1200.0,Brazilan Naturals
Gabon,2008,2067,421,275,0.0,Robustas
Ghana,2008,26.4006,36.0898333,2.0,0.0,Robustas
Guatemala,2008,3784.9658,3777.5902024,335.0,8.0,Other Milds
Guinea,2008,504.7819,208.1745163,50.0,1.0,Robustas
Honduras,2008,3449.9872,3259.4549512,268333,98.14,Other Milds
India,2008,4071666,3376.6686651,1275.0,1553.0,Other Milds
India,2008,4071666,3376.6686651,1275.0,1553.0,Robustas
Jamaica,2008,31.8915,20.7753657,9.0,7.0,Other Milds
Kenya,2008,541075,608429,50.0,75.0,Colombian Milds
Liberia,2008,12.4117,1.73,5.0,0.0,Robustas
Mexico,2008,4650.6492,2448.0008062,2200.0,120.0,Other Milds
Nicaragua,2008,1444.7342,1625.1105737,194147,204411,Other Milds
Nigeria,2008,50.0048,1.8876655,40.0,0.0,Robustas
Panama,2008,149.1609,113.9523965,67.0,5.0,Other Milds
Sierra Leone,2008,86.2856,25.7117922,5.0,0.0,Robustas
Sri Lanka,2008,30.8644,1.700505,30.0,0.0,Other Milds
Sri Lanka,2008,30.8644,1.700505,30.0,0.0,Robustas
Thailand,2008,674.5626,175.0425515,600.0,11.0,Brazilan Naturals
Thailand,2008,674.5626,175.0425515,600.0,11.0,Robustas
Togo,2008,137.7531,120.6589,2.0,9.0,Robustas
Trinidad & Tobago,2008,11.4194,1.2597838,11.0,0.0,Robustas
Uganda,2008,3335167,3310.65,185.0,379554,Other Milds
Uganda,2008,3335167,3310.65,185.0,379554,Robustas
Venezuela,2008,932.4219,125.4862776,1649.26,7.0,Other Milds
Viet Nam,2008,18438.1201,16101.3720357,1021.0,526.0,Brazilan Naturals
Viet Nam,2008,18438.1201,16101.3720357,1021.0,526.0,Robustas
Angola,2009,13.42,6925,30.0,140.0,Brazilan Naturals
Angola,2009,13.42,6925,30.0,140.0,Robustas
Bolivia (Plurinational State of),2009,128.4751,82.6087731,46.0,0.0,Other Milds
Brazil,2009,43976812,30377.9816361,18390.0,15766.0,Brazilan Naturals
Brazil,2009,43976812,30377.9816361,18390.0,15766.0,Robustas
Burundi,2009,111613,288.83,1399,40465,Other Milds
Burundi,2009,111613,288.83,1399,40465,Robustas
Ecuador,2009,813.2849,1086.2174004,150.0,8.0,Other Milds
Ecuador,2009,813.2849,1086.2174004,150.0,8.0,Robustas
Indonesia,2009,11379.6699,7907.2735156,3333.0,668.0,Brazilan Naturals
Indonesia,2009,11379.6699,7907.2735156,3333.0,668.0,Robustas
Madagascar,2009,456.9613,39.6371367,467.0,111.0,Other Milds
Madagascar,2009,456.9613,39.6371367,467.0,111.0,Robustas
Malawi,2009,16922,17575,1.0,0.0,Other Milds
Papua New Guinea,2009,1037.9942,1026.9728297,2.0,38.0,Other Milds
Papua New Guinea,2009,1037.9942,1026.9728297,2.0,38.0,Robustas
Peru,2009,3286.0867,3073578,250.0,0.0,Other Milds
Rwanda,2009,258.9411,304.3162559,1.0,28.0,Other Milds
Zimbabwe,2009,21.3683,18.4785659,4.0,0.0,Other Milds
Congo,2009,3.0,0.0,3.0,0.0,Robustas
Cuba,2009,92103,7462,220.0,12.0,Other Milds
Dominican Republic,2009,352.4645,102.396398,378.0,205928,Other Milds
Haiti,2009,350.5835,15.9158744,340.0,0.0,Other Milds
Philippines,2009,730.4181,6.7312925,1820.0,0.0,Brazilan Naturals
Philippines,2009,730.4181,6.7312925,1820.0,0.0,Robustas
Tanzania,2009,674.9343,1156.9443168,47.0,36.0,Colombian Milds
Tanzania,2009,674.9343,1156.9443168,47.0,36.0,Robustas
Zambia,2009,28217,32.5476667,0.0,0.0,Other Milds
Cameroon,2009,902.2813,617.7570333,69.0,125.0,Other Milds
Cameroon,2009,902.2813,617.7570333,69.0,125.0,Robustas
Central African Republic,2009,112109,61582,8333,3333,Robustas
Colombia,2009,8097.5861,7893.9267953,1274479,730.88,Colombian Milds
Costa Rica,2009,1476.7476,1235.6451535,295441,51186,Other Milds
Côte d'Ivoire,2009,1988.6994,1806.5257164,317.0,1177745,Robustas
Democratic Republic of Congo,2009,345.8372,161.0017333,200.0,49.0,Other Milds
Democratic Republic of Congo,2009,345.8372,161.0017333,200.0,49.0,Robustas
El Salvador,2009,1074.6297,1309.200353,268.3,15.8,Other Milds
Ethiopia,2009,6830199,1851.4974532,3109.0,1233.0,Brazilan Naturals
Gabon,2009,493,675,0.25,1117,Robustas
Ghana,2009,18.6085,23.6753833,2.0,5.0,Robustas
Guatemala,2009,3834.7868,3492.8219874,320.0,2.0,Other Milds
Guinea,2009,499.2465,438.7856007,50.0,95.0,Robustas
Honduras,2009,3602.9169,3084.1878284,306667,159914,Other Milds
India,2009,4826.6521,3006.5624631,1325.0,1889.0,Other Milds
India,2009,4826.6521,3006.5624631,1325.0,1889.0,Robustas
Jamaica,2009,25.0842,24.8305172,9.0,5.0,Other Milds
Kenya,2009,629.74,524748,50.0,25.0,Colombian Milds
Liberia,2009,12692,9.12,5.0,0.0,Robustas
Mexico,2009,4108.6243,2838.0964497,2200.0,332.0,Other Milds
Nicaragua,2009,1871.1206,1373.9991304,196622,63.48,Other Milds
Nigeria,2009,34.2687,0.6424879,40.0,8.0,Robustas
Panama,2009,137.7393,58.994871,67.0,22.0,Other Milds
Sierra Leone,2009,90.7017,103.7334566,5.0,15.0,Robustas
Sri Lanka,2009,31.5032,0.6494178,30.0,0.0,Other Milds
Sri Lanka,2009,31.5032,0.6494178,30.0,0.0,Robustas
Thailand,2009,794.7965,185.3875587,700.0,2.0,Brazilan Naturals
Thailand,2009,794.7965,185.3875587,700.0,2.0,Robustas
Togo,2009,201.8831,151.7037833,2.0,3.0,Robustas
Trinidad & Tobago,2009,11.4069,0.1432195,11.0,0.0,Robustas
Uganda,2009,2893876,3014351,188.7,476033,Other Milds
Uganda,2009,2893876,3014351,188.7,476033,Robustas
Venezuela,2009,1213.7061,18.181522,1650.0,0.0,Other Milds
Viet Nam,2009,17825.3453,17051.7344765,1208.0,640.0,Brazilan Naturals
Viet Nam,2009,17825.3453,17051.7344765,1208.0,640.0,Robustas
Angola,2010,34.97,4.37,30.0,120.0,Brazilan Naturals
Angola,2010,34.97,4.37,30.0,120.0,Robustas
Bolivia (Plurinational State of),2010,117.2249,78.2680061,47.5,0.0,Other Milds
Brazil,2010,55428.4102,33166.6415897,19132.0,11098.0,Brazilan Naturals
Brazil,2010,55428.4102,33166.6415897,19132.0,11098.0,Robustas
Burundi,2010,352.9776,307.1189581,2.0,6742,Other Milds
Burundi,2010,352.9776,307.1189581,2.0,6742,Robustas
Ecuador,2010,853.9798,1201.5527269,150.0,12.0,Other Milds
Ecuador,2010,853.9798,1201.5527269,150.0,12.0,Robustas
Indonesia,2010,9128.5118,5489.1475563,3333.0,725.0,Brazilan Naturals
Indonesia,2010,9128.5118,5489.1475563,3333.0,725.0,Robustas
Madagascar,2010,529.7233,73.5849035,467.0,56.0,Other Milds
Madagascar,2010,529.7233,73.5849035,467.0,56.0,Robustas
Malawi,2010,16.9285,8.1198898,1.0,0.0,Other Milds
Papua New Guinea,2010,866.5184,929.3412071,1.43,25.0,Other Milds
Papua New Guinea,2010,866.5184,929.3412071,1.43,25.0,Robustas
Peru,2010,4068823,3816.67104,250.0,37.0,Other Milds
Rwanda,2010,322.9191,295.9629328,1.0,19.0,Other Milds
Zimbabwe,2010,10.0859,7.434416,4.0,0.0,Other Milds
Congo,2010,3.0,0.0,3.0,0.0,Robustas
Cuba,2010,108497,5.26,220.0,8.0,Other Milds
Dominican Republic,2010,378.1562,41.1307737,378.0,124593,Other Milds
Haiti,2010,349.5281,8.7403186,340.0,0.0,Other Milds
Philippines,2010,189.0533,6.3665458,2125.0,0.0,Brazilan Naturals
Philippines,2010,189.0533,6.3665458,2125.0,0.0,Robustas
Tanzania,2010,845.9077,555.8019331,47.0,16.0,Colombian Milds
Tanzania,2010,845.9077,555.8019331,47.0,16.0,Robustas
Zambia,2010,13.1783,17.8713333,0.0,0.0,Other Milds
Cameroon,2010,527.1347,793.8456667,68333,136.75,Other Milds
Cameroon,2010,527.1347,793.8456667,68333,136.75,Robustas
Central African Republic,2010,78462,95194,10.0,18.85,Robustas
Colombia,2010,8522.6594,7821.6345037,1311024,999163,Colombian Milds
Costa Rica,2010,1613.6996,1199.9826173,407221,62237,Other Milds
Côte d'Ivoire,2010,836724,1912.0534425,317.0,819996,Robustas
Democratic Republic of Congo,2010,305.1575,162.1096,200.0,32.0,Other Milds
Democratic Republic of Congo,2010,305.1575,162.1096,200.0,32.0,Robustas
El Salvador,2010,1873269,1081.7666259,276.0,18.2,Other Milds
Ethiopia,2010,5560.3848,3324.1025511,3171.0,2050.0,Brazilan Naturals
Gabon,2010,1.8323,0.81,947,0.55,Robustas
Ghana,2010,69.4979,6.6219345,2.0,8.0,Robustas
Guatemala,2010,3949.9335,3468.0876782,340.0,71.0,Other Milds
Guinea,2010,386.4609,405.5585284,50.0,82.0,Robustas
Honduras,2010,4330.6854,3349.3976392,335.0,95312,Other Milds
India,2010,5599.9734,4647.2811106,1325.0,1802.0,Other Milds
India,2010,5599.9734,4647.2811106,1325.0,1802.0,Robustas
Jamaica,2010,20.5548,15.4349302,9.0,5.0,Other Milds
Kenya,2010,640.8736,531.0926567,50.0,98.0,Colombian Milds
Liberia,2010,10.4386,7.2159996,5.0,0.0,Robustas
Mexico,2010,4001.4319,2497.5399854,2354.0,479.0,Other Milds
Nicaragua,2010,1637.8216,1711.8160583,202745,83175,Other Milds
Nigeria,2010,42.0553,3.0441525,40.0,0.0,Robustas
Panama,2010,113.8499,65.3353264,67.0,29.0,Other Milds
Sierra Leone,2010,32.9146,57.5764861,5.0,3.0,Robustas
Sri Lanka,2010,37.0877,1.6552438,35.0,0.0,Other Milds
Sri Lanka,2010,37.0877,1.6552438,35.0,0.0,Robustas
Thailand,2010,828.1734,369.627534,775.0,8.0,Brazilan Naturals
Thailand,2010,828.1734,369.627534,775.0,8.0,Robustas
Togo,2010,160.2912,198.1077,2.0,904,Robustas
Trinidad & Tobago,2010,10.3587,0.5000756,10.0,0.0,Robustas
Uganda,2010,3267232,2656536,204.0,512238,Other Milds
Uganda,2010,3267232,2656536,204.0,512238,Robustas
Venezuela,2010,1202.1338,19.0843108,1650.0,0.0,Other Milds
Viet Nam,2010,19999.9999,14228.5857964,1583.0,2716.0,Brazilan Naturals
Viet Nam,2010,19999.9999,14228.5857964,1583.0,2716.0,Robustas
Angola,2011,28715,7575,30.0,120.0,Brazilan Naturals
Angola,2011,28715,7575,30.0,120.0,Robustas
Bolivia (Plurinational State of),2011,131.8354,74.3088833,49.0,0.0,Other Milds
Brazil,2011,48591.8289,33806.0093278,19720.0,13340.0,Brazilan Naturals
Brazil,2011,48591.8289,33806.0093278,19720.0,13340.0,Robustas
Burundi,2011,204.1328,217.8457992,2.0,7.0,Other Milds
Burundi,2011,204.1328,217.8457992,2.0,7.0,Robustas
Ecuador,2011,825.4144,1532.2566057,150.0,10.0,Other Milds
Ecuador,2011,825.4144,1532.2566057,150.0,10.0,Robustas
Indonesia,2011,6888.9233,3919.891883,3667.0,873.0,Brazilan Naturals
Indonesia,2011,6888.9233,3919.891883,3667.0,873.0,Robustas
Madagascar,2011,584.8528,143.9107205,450.0,30.0,Other Milds
Madagascar,2011,584.8528,143.9107205,450.0,30.0,Robustas
Malawi,2011,25.8264,25.8532829,1.0,0.0,Other Milds
Papua New Guinea,2011,1413.8545,1224.5226685,1236,10.0,Other Milds
Papua New Guinea,2011,1413.8545,1224.5226685,1236,10.0,Robustas
Peru,2011,5372.5296,4697.069665,250.0,24.0,Other Milds
Rwanda,2011,251071,276.8116826,1.0,13.0,Other Milds
Zimbabwe,2011,8.8564,4.5622061,4.0,0.0,Other Milds
Congo,2011,3.0,0.0,3.0,0.0,Robustas
Cuba,2011,100158,9755,220.0,8.0,Other Milds
Dominican Republic,2011,490.5415,88.5978933,378.0,58.0,Other Milds
Haiti,2011,349.1949,8.6211063,340.0,0.0,Other Milds
Philippines,2011,179.6611,10.3260753,2175.0,0.0,Brazilan Naturals
Philippines,2011,179.6611,10.3260753,2175.0,0.0,Robustas
Tanzania,2011,641.0391,798.0999333,58.95,20.0,Colombian Milds
Tanzania,2011,641.0391,798.0999333,58.95,20.0,Robustas
Zambia,2011,11.1889,9003,0.0,0.0,Other Milds
Cameroon,2011,669.3245,490.2830667,70017,26375,Other Milds
Cameroon,2011,669.3245,490.2830667,70017,26375,Robustas
Central African Republic,2011,91325,77943,13333,0.0,Robustas
Colombia,2011,7653.3336,7733.625254,1435065,993345,Colombian Milds
Costa Rica,2011,1830.8955,1243.0599349,380888,59223,Other Milds
Côte d'Ivoire,2011,2216.3419,772.2421667,317.0,381376,Robustas
Democratic Republic of Congo,2011,356.5382,131.6650667,200.0,5044,Other Milds
Democratic Republic of Congo,2011,356.5382,131.6650667,200.0,5044,Robustas
El Salvador,2011,1163.7647,1826.30685,273.4,71.6,Other Milds
Ethiopia,2011,5650.4099,2675.4190125,3235.0,1417.0,Brazilan Naturals
Gabon,2011,782,0.7523333,1032,683,Robustas
Ghana,2011,30.0625,72.0727358,2.0,5.0,Robustas
Guatemala,2011,3850.3876,3696.8254983,350.0,27.0,Other Milds
Guinea,2011,385.5106,384.5238255,50.0,60.0,Robustas
Honduras,2011,5882.1354,3947.1411511,340.0,163679,Other Milds
India,2011,5333.5414,5414.0105768,1325.0,1240.0,Other Milds
India,2011,5333.5414,5414.0105768,1325.0,1240.0,Robustas
Jamaica,2011,24.0073,16.0598548,9.0,0.0,Other Milds
Kenya,2011,757.3153,609.163192,50.0,34.0,Colombian Milds
Liberia,2011,10.2354,7.8793162,5.0,0.0,Robustas
